Drug:0 CCC[N+]#[C-]
Drug:224 CCCCCOC1=CC=C(C=C1)C1=CC(=NO1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC(OS(O)(=O)=O)=C(O)C=C1)[C@H](O)CC(N)=O
Drug:225 OS(=O)(=O)OC1=CNC2=CC=CC=C12
Drug:226 C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
Drug:227 CC1=NC=C(C(=C1O)CO)CO
Drug:228 [H]C1(CCC(CC1)=C1C(O)=C(O)C2=CC=CC=C2C1=O)C1=CC=C(Cl)C=C1
Drug:229 [H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Drug:230 O=C(CC1=CC2=C(C=CC=C2)C=C1)NC1=CC(=NN1)C1CC1
Drug:231 [H][C@]1(COP(O)(=O)CP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:232 CCCCCCCCCCC[P@@](O)(=O)OC
Drug:233 [H][C@]1(NC(=O)[C@H](CC2=CC=C(OC)C=C2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC
Drug:234 [H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(=O)NNC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(O)=O)NC(=O)CC[C@H](NC(=O)C1=CC=C(NCC2=CNC3=NC(N)=NC(=O)C3=N2)C=C1)C(O)=O)C(O)=O)[C@]1(C[C@@]2([H])C[N@](C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC
Drug:235 CCCCCN
Drug:236 [O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1
Drug:237 C1=CC(=C(C=C1CCC(=O)NCCCNCCCCNCCCNC(=O)CCC2=CC(=C(C=C2)O)O)O)O
Drug:238 CC(C[N+](C)(C)C)OC(N)=O
Drug:239 CC(C)(CC1=CNC2=CC=CC=C12)NCC(O)COC1=CC=CC=C1C#N
Drug:240 OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
Drug:241 CC(C)(CNC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1)C1=NC2=NC(N)=NC(N)=C2C=C1
Drug:242 ON(CCCP(O)(O)=O)C=O
Drug:243 [H][C@]12CC[C@]([H])(C1)C(=O)C2
Drug:244 CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1
Drug:245 C(C(CC(=O)O)C(=O)O)C(=O)O
Drug:246 OP(O)(=O)N[P@](O)(=O)OP(O)(O)=O
Drug:247 [H]N([C@H]1[C@@H](OP(O)(O)=O)O[C@H](CO[C@@H]2O[C@H](COC)[C@@H](OP(O)(O)=O)[C@H](OCC[C@@H](CCCCCCC)OC(=O)CCC\C=C/CCCCCC)[C@H]2N([H])C(=O)CC(=O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OCC[C@H](O)CCCCCCC)C(=O)CC(=O)CCCCCCCCCCC
Drug:248 O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@@H](O)C=O
Drug:249 CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
Drug:250 [H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C=C(CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(O)=O)C(=O)C1=CC=C(O)C=C1
Drug:251 CN1CC[C@]2(C)[C@H]1N(C)c1ccc(OC(=O)Nc3ccccc3)cc21
Drug:252 CCC(=O)N(C1CCN(CCC2=CC=CS2)CC1C)C1=CC=CC=C1
Drug:253 CCCCCCC(=O)O
Drug:254 C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O
Drug:255 [H][C@]1(CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C)C(C)(C)O
Drug:256 [H][C@]1(COP(O)(=O)OP(O)(=O)CP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:257 [H][C@]1(NC(C(O)=O)=C(CC[C@H](NC(=O)CC[C@@H](NC(C)=O)C(O)=O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(O)=O)CS1)[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O
Drug:258 COC1=C(\C=N\NC(=O)C2=CC(O)=C(O)C=C2)C2=CC=CC=C2C=C1
Drug:259 N1C=CC=N1
Drug:260 [H][C@]1(CN(C2CCCCC2)C(=O)C1)C(=O)NC1=CC=CC=C1
Drug:261 COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1
Drug:262 CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1
Drug:263 [H][C@]1(CO)O[C@]([H])(OC2=CC(=CC(=C2)N(=O)=O)C(O)=NC(CN2CCOCC2)CN2CCOCC2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
Drug:264 CCCCOC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@@H](CCC(O)=O)C(O)=O
Drug:265 CC(C)(C)C1=NC2=C3C=CC(F)=CC3=C3C(=O)NC=CC3=C2N1
Drug:266 CC1=CC(C)=C(N1)\C=C1/C(=O)NC2=CC=CC=C12
Drug:267 [H][C@](CC1=CC(Br)=C(C=C1)C(F)(F)P(O)(O)=O)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1
Drug:268 CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O
Drug:269 [H][C@]1(CO)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@@]([H])(OCCCCCCC3CCCCC3)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:270 CN(C)CCN(CC1=CC=C(Cl)C=C1)C1=CC=CC=N1
Drug:271 CC1=CC=C2N3CCNC4CCCC(=C34)C2=C1
Drug:272 COC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=C(C=C3)O)OC)O
Drug:273 CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
Drug:274 OC(=O)C1=C(I)C(NC(=O)CCCCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C(I)C=C1I
Drug:275 [H]\C(CN1CCCC1)=C(\C1=CC=C(C)C=C1)C1=CC=CC(=N1)C(\[H])=C(/[H])C(O)=O
Drug:276 CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)NC(=O)CCl
Drug:277 COC1=CC(=N\C1=C/C1=C(C)C=C(C)N1)C1=CC2=CC=CC=C2N1
Drug:278 C1CN(CCO1)C1=C2N=CNC2=NC=N1
Drug:279 CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)cc2)S(=O)(=O)c1ccccc1
Drug:280 [H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@]2([H])F)C1=O
Drug:281 CC(C)C[C@H](NS(=O)(=O)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N
Drug:282 CNC(=O)[C@@H](N)C(C)(C)C
Drug:283 NC1=NC2=C(C(N)=N1)C(OCC1CCN(CC3=C(Cl)C(Cl)=CC=C3)CC1)=CC=C2
Drug:284 NC(=O)CC(O)=O
Drug:285 C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
Drug:286 CC(=O)N[C@@H](CC1=CC(C=O)=C(C=C1)C(O)=O)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
Drug:287 CC(=O)NCCC1=CN=CN1
Drug:288 C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CC=C(C)C
Drug:289 OC(=O)C(=O)NC1=C(C=CC=C1)C(O)=O
Drug:290 CN(C)C(=O)N1C[C@H](c2cccc(O)c2)c2ccc(C)c(C)c2C1
Drug:291 CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
Drug:292 [H][C@@]1(O)[C@@]([H])(O)[C@]([H])(OC)O[C@]([H])(C=S)[C@]1([H])O
Drug:293 [H][C@](O)(COC1=CC=C(NC2=NC=NC(NC3=C(F)C=CC(=C3)C(F)(F)F)=C2)C=C1)CN(C)C
Drug:294 [H][C@@]1(CO[C@](C)(OC1)C(O)=O)OC(=O)N1CCN(CC1)C(=O)O[C@@]1([H])CO[C@](C)(OC1)C(O)=O
Drug:295 C1C(C(C(C(N1)CO)O)O)O
Drug:296 OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NC2CCNCC2)C1=O
Drug:297 COC1=CC(=CC(OC)=C1OC)N(C)CC1=C(C)C2=C(N)N=C(N)N=C2N=C1
Drug:298 [H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O
Drug:299 C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O
Drug:300 NC1=CC=CC=C1C(=O)CCC(O)=O
Drug:301 CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=CC=C(I)C=C1F)C1=CC(NC(C)=O)=CC=C1
Drug:302 [H]N([H])C1=NC(=CS1)C(=N\OC(C)(C)C(O)=O)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SCC(=C)C(=N1)C(O)=O
Drug:303 [S]
Drug:304 CCCCCCCCCCC1=C(O)C(=O)NC1=O
Drug:305 [NH3+]C1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=N1
Drug:306 CC1=C(CSC2=CC(C)=C(OCC(O)=O)C=C2)SC(=N1)C1=CC=C(C=C1)C(F)(F)F
Drug:307 [H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
Drug:308 NN=C1NNC(=NN)C2=CC=CC=C12
Drug:309 OP(=O)(O)OP(=O)(O)O
Drug:310 CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1
Drug:311 [H][C@](N)(CC1=CC=CC=C1)[C@]([H])(O)CNS(=O)(=O)C1=CC=C2C=CC=CC2=C1
Drug:312 [H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(Cl)C2=CC(=O)CC[C@]12C
Drug:313 CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
Drug:314 COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
Drug:315 COC1=C(OC)C(=O)C(C\C=C(/C)CCC=C(C)C)=C(C)C1=O
Drug:316 C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Drug:317 CCOC(=O)C1=C(C)N(N=C1C)C1=CC=C(N)C=C1
Drug:318 NCC(CC(O)=O)C1=CC=C(Cl)C=C1
Drug:319 CC(C)NCC(O)COC1=CC=CC2=C1C=C(C)N2
Drug:320 [N]=O
Drug:321 COC1=C(OC)C=C(CCC(O)=O)C=C1
Drug:322 C[C@@H](CC1=CC=CC=C1)N
Drug:323 OB(O)C1=CC=C(C=C1)C(O)=O
Drug:324 OC(=O)CO\N=C1/C2=CC=CCC2=N/C/1=C1\C(=O)N=C2CC=CC=C12
Drug:325 CN(CCCCCCOC1=CC=C2C(SN=C2C2=CC=C(Br)C=C2)=C1)CC=C
Drug:326 CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)cc1
Drug:327 [H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO
Drug:328 [H][C@](N)(CC1=CC(\N=C\CC2=CC=CC=C2)=C(O)C=C1O)C(O)=O
Drug:329 CN1C2=C(NC(=N)N2)C(=O)N(C)C1=O
Drug:330 [H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@H](COC)[C@]13C
Drug:331 C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
Drug:332 O=C(N1CCOCC1)C1=CC2=NON=C2C=C1
Drug:333 CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3
Drug:334 CC(=O)NC1=C(I)C(C(O)=O)=C(I)C=C1I
Drug:335 CC(=C)C(CC1=C(C=CC(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O
Drug:336 [H][C@@](C)(O)[C@@]([H])(CCOC1=CC2=C(C=CC=C2)C=C1)N1C=NC(=C1)C(N)=O
Drug:337 C\C=C1/C2Cc3[nH]c(=O)ccc3C1(N)CC(C)=C2
Drug:338 [H]\C(OC)=C(/[H])[C@]([H])(N)C(O)=O
Drug:339 N1C=C(C(=N1)C1=NC=CC=C1)C1=C2C=CC=CC2=NC=C1
Drug:340 C([C@@H](C(=O)O)N)S
Drug:341 CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
Drug:342 [H]N=C(N([H])[H])N1CCC[C@H](CC(=O)N([H])[C@@H](CC2=CC=C(C=C2)C#CC2=CC=CC=C2)C(=O)OC)C1
Drug:343 [H][C@@]1(CC[N@@+](C)([O-])CC1)[Si](C)(C)C1=CC=CC=C1
Drug:344 [H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
Drug:345 [H][C@@]1(CN=C(O)CC)C[C@@]1([H])C1=C2CCOC2=CC=C1
Drug:346 C[C@H]1CC[C@@H](CC1)NCc1ccc-2c(Cc3c(n[nH]c-23)-c2ccc(cc2)C(O)=O)c1
Drug:347 [H][C@@](CC(O)=O)(NC(=O)C1=CN=CC(=C1)C1=CC=C(C=C1)C(O)=O)C=O
Drug:348 CC(C[N+](C)(C)C)OC(=O)C
Drug:349 [H][C@](C)(NC(=O)C1=CC=CC=C1)C(O)=O
Drug:350 NNC(=O)C1=C(C2=C(N1)C=CC(=C2)S(N)(=O)=O)C1=CC=CC=C1
Drug:351 CNC(=O)C1=NC=CC(OC2=CC3=C(C=C2)N=C(NC2=CC(=C(Cl)C=C2)C(F)(F)F)N3)=C1
Drug:352 CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C
Drug:353 C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
Drug:354 CON(C)C(=O)N1N=C(S[C@@]1(CCCN)C1=CC=CC=C1)C1=CC(F)=CC=C1F
Drug:355 [K+].[K+].[K+].[O-]P([O-])(=O)[C@@H](CCCC1=CC=C(C=C1)C1=CC=CC=C1)S([O-])(=O)=O
Drug:356 CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1
Drug:357 NC(=N)C1=CC2=C(C=C1)N=C(N2)C(O)(O)C1=NC2=C(N1)C=C(C=C2)C([NH3+])=[NH2+]
Drug:358 CCC1=C2N=C(C=C(NCC3=CN=C(N)N=C3)N2N=C1)C1=C(F)C=CC=C1F
Drug:359 NCCCC(=O)NC1=CC=C(OCC2=CC=CC=C2)C=C1
Drug:360 [H][C@]1(CN)CN(CCO1)C1=C(Br)C=NC2=C1C=NN2
Drug:361 CCCCCCCCCCP(C)(C)=O
Drug:362 OC(=O)CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1
Drug:363 [H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1
Drug:364 CN1CCN(CCN2C=NC3=C(NC4CCCCC4)N=C(N=C23)C#N)CC1
Drug:365 C(CN)C#N
Drug:366 [H][C@]1(CC=C(C)C)O[C@]1(C)[C@@]1([H])[C@]([H])(OC)[C@@]([H])(CC[C@]11CO1)OC(=O)NC(=O)CCl
Drug:367 CCC(O)(CC)\C=C\C[C@H](C)C1=CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@@](F)([H])C1=C
Drug:368 [H][C@](N)(C1CC1)C(=O)N1CC(=C[C@@]1([H])C1=CC=CC=C1)C1=CC(F)=CC=C1F
Drug:369 [H]N([H])C(\N=C(N([H])[H])N([H])[H])=N/C1=C(Cl)C=CC(=C1)C(F)(F)F
Drug:370 CC1O[C@@]2(CS1)CN1CCC2CC1
Drug:371 OC(=O)COC1=NN(CC2=CC=CC=C2)C2=CC=CC=C12
Drug:372 [H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC([O-])=O
Drug:373 [H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO
Drug:374 [H][C@@](C)(NC(=O)OCC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(O)=O
Drug:375 NS(=O)(=O)C1=CC(F)=CC(F)=C1
Drug:376 [H][C@]1(O)O[C@]([H])(COP(O)(=O)CP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@@]1([H])O
Drug:377 CC1=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C=CC=C1OCCCCC(O)=O
Drug:378 OC1=CC=C(CN2C3=C(CCN(C3)C(=O)C3=CC=C(O)C=C3)C3=CC=CC=C23)C=C1
Drug:379 OC1=C(O)C(=CC=C1)C1=CC=CC=C1
Drug:380 C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Drug:381 OC(=O)C(Cl)Cl
Drug:382 C1=C(OC=C(C1=O)O)CO
Drug:383 CCCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
Drug:384 C1=CC=CC=C1
Drug:385 O=[Mo++]=O.NC1=NC2=C(N[C@@H]3[C@H](N2)O[C@H](COP([O-])([O-])=O)C([S-])=C3[S-])C(=O)N1
Drug:386 CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12
Drug:387 O=C1NC2=CC=C(C=C2\C1=C\NC1=CC2=C(CS(=O)(=O)C2)C=C1)C1=CN=CO1
Drug:388 ClC1=CC=C2OC(NS(=O)(=O)C3=CC(Cl)=CC=C3Cl)=NC2=C1
Drug:389 NC(=N)N1CCC2=CC=CC=C2C1
Drug:390 [H][C@@]1(O)CCN2C(=O)N(C(=O)[C@]12[H])C1=CC=C(C#N)C2=CC=CC=C12
Drug:391 OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](F)[C@@H](O)[C@@H]1O
Drug:392 C=C(C(=O)O)N
Drug:393 [H][C@@](CCCCC)(OO)\C=C\[C@@]1([H])[C@@]2([H])C[C@]([H])(OO2)[C@]1([H])C\C=C/CCCC(O)=O
Drug:394 OC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(F)(F)P(O)(O)=O
Drug:395 O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1
Drug:396 CN(CC1=CN(C)C2=CC=CC=C12)C(=O)\C=C\C1=CN=C2NC(=O)CCC2=C1
Drug:397 [H][C@@](NC(=O)CC1=CC=CC=C1)(C(=O)NCC1=CC=CC=C1)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1
Drug:398 [H]N([H])C1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[W](O)(=O)O[W](O)(O)=O)[C@@H](O)[C@H]1O
Drug:399 C[N+](C)(C)C1=CC=CC(=C1)C(O)(O)C(F)(F)F
Drug:400 N[C@@H](CCCNC(N)=[NH2+])C(N)=O
Drug:401 [H][C@](N)(CSCCC(=O)NC1=CC2=C(C=C1)N=CN=C2NC1=CC=CC=C1)C(O)=O
Drug:402 COC1=CC(=O)C2=C(C(COC3=CC=C(C=C3)[N+]([O-])=O)=C(C)N2C)C1=O
Drug:403 CS(=O)(=O)C1=CC(C[C@H](NC(=O)C2=C(Cl)C3=C(CN(CC3)C(=O)C3=CC=C4C=COC4=C3)C=C2Cl)C(O)=O)=CC=C1
Drug:404 C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O
Drug:405 [H]N([H])C(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)N([H])C(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)N([H])C(=O)[C@H](CCC(O)=O)N([H])C(=O)C1=CC=CC=C1
Drug:406 NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
Drug:407 [H][C@@]1(C)CN(CCN1S(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)[N+]([O-])=O
Drug:408 CCCC\N=C(/N)NO
Drug:409 OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
Drug:410 [H][C@](N)(CCSCC)[C@]([H])(O)C(=O)N[C@@]([H])(C)C1=C2C=CC=CC2=CC=C1
Drug:411 CC1=NN=C(O1)C1=CC=C(C)C(=C1)C1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1)C#N
Drug:412 CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
Drug:413 [H]N(C1=C([H])C([H])=C(\C([H])=C(/[H])C2=C([H])N=C(OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[18F])C([H])=C2[H])C([H])=C1[H])C([H])([H])[H]
Drug:414 [H][C@@](CCCN1C(O)=N[C@@]2(O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@@]2([H])O)C1=O)(N(O)CO)C(O)=O
Drug:415 CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
Drug:416 [H][C@]1(C)CNCCCN1S(=O)(=O)C1=C2C(C)=CN=CC2=CC=C1
Drug:417 CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N
Drug:418 CCCOC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
Drug:419 C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O
Drug:420 OP(=O)(NCCCl)NCCCl
Drug:421 CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O
Drug:422 C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
Drug:423 C1=CC(=CN=C1)C(=O)NC2=CC(=CC3=C2NC4=C3C=CN=C4)Cl
Drug:424 CC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Drug:425 [H][C@]1(NC(=O)[C@@]([H])(NC(=O)[C@@H](CC2=CC=C(OCC)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)[C@@H](C)CC)[C@@H](C)O
Drug:426 CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1
Drug:427 NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=CC(CC[NH3+])=CC(=C1O)C1=CC=CC=C1
Drug:428 CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
Drug:429 CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O
Drug:430 CC1=C(C=C(C=C1)N2C(=O)C(C(=N2)C)N=NC3=CC=CC(=C3[O-])C4=CC(=CC=C4)C5=NNN=N5)C
Drug:431 IC1=CC2=C(CCNC2)C=C1
Drug:432 [H][C@]1(CO)O[C@@]([H])(C2=NC3=C(N2)C=C(C)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:433 OC1=CC=CC=C1CC=C
Drug:434 CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1
Drug:435 OC(=O)C1=CC(=CC(=C1)C(O)=O)C(O)=O
Drug:436 [H][C@](CCC(O)=O)(NS(=O)(=O)C1=CC2=C(C=C1)C=C(OCCCCC)C=C2)C(O)=O
Drug:437 CC1=C(SC(=N1)C1=CC=C(C=C1)C(F)(F)F)C(=O)NCC1=CC=C(OC(C)(C)C(O)=O)C=C1
Drug:438 OC1=C(O)C2=C(C=C1)C(=O)C1=C(O)C=CC(O)=C1C2=O
Drug:439 CC(=O)OCC(C)(C)CN1C2=C(C=C(C=C2)Cl)[C@H](O[C@@H](C1=O)CC(=O)N3CCC(CC3)CC(=O)O)C4=C(C(=CC=C4)OC)OC
Drug:440 CC1=C(CCCl)SC=N1
Drug:441 C=C(C[C@@H](C(=O)O)N)C(=O)O
Drug:442 CC(=O)[O-].[Na+]
Drug:443 COC1=C(C=CC(N)=C1Cl)C(=O)NC1CCN2CCCC1C2
Drug:444 IC1=CC=C(NC(=O)NC2CCCCC2)C=C1
Drug:445 [H][C@]1(O)C[C@]([H])(O[C@]2([H])[C@]([H])(C)O[C@]([H])(C[C@]2([H])N(C)C)O[C@@]2([H])C[C@](O)(CC)[C@]([H])(O)C3=C2C(O)=C2C(=O)C4=C(C=CC=C4O)C(=O)C2=C3)O[C@@]([H])(C)[C@]1([H])O[C@@]1([H])CCC(=O)[C@@]([H])(C)O1
